SAND_name,              level,  contains, collec   
AMSU-A,                 1,      ,         EO:EUM:DAT:METOP:AMSUL1 EO:EUM:DAT:METOP:AMSU-AHRPT
ASCAT-METOP-FR,         1,      ,         EO:EUM:DAT:METOP:ASCSZF1B
ASCAT-METOP-RES,        1,      ,         EO:EUM:DAT:METOP:ASCSZO1B
ASCAT-METOP-RES,        2,      ,         EO:EUM:DAT:METOP:OSI-150-A EO:EUM:DAT:METOP:OSI-150-B
IASI,                   1,      ,         EO:EUM:DAT:METOP:IASIL1C-ALL EO:EUM:DAT:0590
MVIRI-MFG,              1,      ,         EO:EUM:DAT:0080 EO:EUM:DAT:0081 EO:EUM:DAT:0082  
MVIRI-MFG,              2,      ,         EO:EUM:DAT:0300 EO:EUM:DAT:0301 EO:EUM:DAT:0302  
SEVIRI-MSG,             1,      ,         EO:EUM:DAT:MSG:HRSEVIRI EO:EUM:DAT:MSG:HRSEVIRI-IODC EO:EUM:DAT:0962
SEVIRI-MSG,             3,      ,         EO:EUM:DAT:0088
SENTINEL-3-OLCI-FR,     1,      OL_1,     EO:EUM:DAT:0409 EO:EUM:DAT:0577
SENTINEL-3-OLCI-RR,     1,      OL_1,     EO:EUM:DAT:0410 EO:EUM:DAT:0578
SENTINEL-3-OLCI-FR,     2,      OL_2,     EO:EUM:DAT:0407 EO:EUM:DAT:0556
SENTINEL-3-OLCI-RR,     2,      OL_2,     EO:EUM:DAT:0408 EO:EUM:DAT:0557
SENTINEL-3-SLSTR,       1,      SL_1,     EO:EUM:DAT:0615 EO:EUM:DAT:0581 EO:EUM:DAT:0411
SENTINEL-3-SLSTR,       2,      SL_2,     EO:EUM:DAT:0412 EO:EUM:DAT:0416 EO:EUM:DAT:0417 EO:EUM:DAT:0582
SENTINEL-3-SRAL,        1,      SR_1,     EO:EUM:DAT:0406 EO:EUM:DAT:0413 EO:EUM:DAT:0414 EO:EUM:DAT:0833 EO:EUM:DAT:0835 EO:EUM:DAT:0836 EO:EUM:DAT:0583 EO:EUM:DAT:0584 EO:EUM:DAT:0585
SENTINEL-3-SRAL,        2,      SR_2,     EO:EUM:DAT:0415 EO:EUM:DAT:0834 EO:EUM:DAT:0586
SENTINEL-5P-TROPOMI,    1,      ,         EO:EUM:DAT:0069 EO:EUM:DAT:0070 EO:EUM:DAT:0071
SENTINEL-5P-TROPOMI,    2,      ,         EO:EUM:DAT:0072 EO:EUM:DAT:0073 EO:EUM:DAT:0074 EO:EUM:DAT:0075 EO:EUM:DAT:0076 EO:EUM:DAT:0077EO:EUM:DAT:0078 EO:EUM:DAT:0602 EO:EUM:DAT:0103
FCI-MTG-HR,             1,      ,         EO:EUM:DAT:0665
FCI-MTG-NR,             1,      ,         EO:EUM:DAT:0662
VIIRS,                  1,      ,         EO:EUM:DAT:MULT:EARS-VIIRS EO:EUM:DAT:0919
