SAND_name,              level,  contains, collec
ISS-EMIT,               1,      ,         C2408009906-LPCLOUD C2408031090-LPCLOUD
ISS-ECOSTRESS,          1,      L1,       C2076116385-LPCLOUD C2595678497-LPCLOUD C2595678301-LPCLOUD C2076087338-LPCLOUD
AQUA-MODIS-HR,          1,      ,         C1236350900-GES_DISC C1236350921-GES_DISC
SENTINEL-1-SAR,         1,      ,         C3488389367-ASF C1214470488-ASF
SENTINEL-6-HR,          1,      ,         C2619443888-POCLOUD
SENTINEL-6-LR,          1,      ,         C2619443901-POCLOUD
VIIRS,                  1,      ,         C2545310947-LPCLOUD C2545314612-LPCLOUD
ISS-EMIT,               2,      ,         C2408750690-LPCLOUD C2748088093-LPCLOUD
ISS-ECOSTRESS,          2,      ,         C2076090826-LPCLOUD C2076114664-LPCLOUD C2076115306-LPCLOUD C2076113037-LPCLOUD
AQUA-MODIS-HR,          2,      ,         C2343109950-LPCLOUD
AQUA-MODIS-LR,          2,      ,         C2202498116-LPCLOUD C2278858993-LPCLOUD
TERRA-MODIS-HR,         2,      ,         C2343115666-LPCLOUD
TERRA-MODIS-LR,         2,      ,         C2202497474-LPCLOUD C2271754179-LPCLOUD C2343115255-LPCLOUD
PACE-OCI,               1,      ,         C3392966961-OB_CLOUD C3392966952-OB_CLOUD
PACE-OCI,               2,      ,         C3385050059-OB_CLOUD C3620139902-OB_CLOUD C3620139865-OB_CLOUD
PACE-HARP2,             1,      ,         C3556542317-OB_CLOUD C3555841897-OB_CLOUD C3555842028-OB_CLOUD
PACE-HARP2,             2,      ,         C3600169991-OB_CLOUD C3652817390-OB_CLOUD
SENTINEL-2-MSI,         2,      ,         C3246894861-LPCLOUD
SENTINEL-6-HR,          2,      ,         C2619443963-POCLOUD
SENTINEL-6-LR,          2,      ,         C2619444013-POCLOUD C2619443998-POCLOUD
VIIRS,                  2,      ,         C2631841556-LPCLOUD C2545310869-LPCLOUD C2545314536-LPCLOUD
ENVISAT-MERIS,          1,      ,         C1569867387-OB_DAAC C1569867388-OB_DAAC C2151211533-LAADS 
ENVISAT-MERIS,          2,      ,         C3281901057-OB_CLOUD C3281778845-OB_CLOUD C3281901072-OB_CLOUD C3281778850-OB_CLOUD

