SAND_name,              level,  contains, collec           
LANDSAT-5-TM,           2,      ,         Landsat57
LANDSAT-7-ET,           2,      ,         Landsat57
LANDSAT-8-OLI,          2,      ,         LANDSAT
PLEIADES,               1,      ,         Pleiades
SENTINEL-2-MSI,         1,      ,         SENTINEL2
SENTINEL-2-MSI,         2,      ,         Snow
SPOT,                   1,      ,         Spirit
SWH,                    1,      ,         SPOTWORLDHERITAGE
VENUS,                  1,      ,         VENUS
VENUS,                  2,      ,         VENUS   
VENUS-VM5,              1,      ,         VENUSVM05
VENUS-VM5,              2,      ,         VENUSVM05   
